timestamp,x,y,z
470260458182,0.410645,-0.732422,0.583496
470260481838,0.416992,-0.710449,0.609375
470260496895,0.356934,-0.706543,0.61377
470260518138,0.277832,-0.751953,0.637207
470260533054,0.267578,-0.759277,0.621582
470260564213,0.321777,-0.766113,0.645508
470260579313,0.34082,-0.763184,0.630859
470260633394,0.363281,-0.709961,0.62207
470260633996,0.36377,-0.71875,0.622559
470260634840,0.331055,-0.743164,0.624512
470260647095,0.337891,-0.760254,0.608398
470260669395,0.336914,-0.747559,0.59082
470260694648,0.335938,-0.755371,0.596191
470260710993,0.33252,-0.749512,0.611816
470260760688,0.316895,-0.738281,0.607422
470260761418,0.337891,-0.698242,0.601562
470260768229,0.371582,-0.745605,0.561035
470260788042,0.37207,-0.744629,0.583984
470260811189,0.329102,-0.734863,0.589355
470260835600,0.29834,-0.750977,0.621582
470260857436,0.321777,-0.759277,0.614258
470260872506,0.324707,-0.756348,0.598633
470260894941,0.359863,-0.753906,0.607422
470260917658,0.331055,-0.745117,0.618164
470260931928,0.333008,-0.722168,0.626465
470260954992,0.350098,-0.73584,0.618652
470260977595,0.351562,-0.736816,0.616699
470260991968,0.317383,-0.756348,0.607422
470261015128,0.310059,-0.75,0.602051
470261037598,0.328125,-0.746094,0.604492
470261051904,0.322266,-0.739746,0.61377
470261074916,0.335449,-0.729004,0.609863
470261098039,0.334961,-0.73291,0.60791
470261111887,0.342285,-0.758789,0.608887
470261134989,0.34082,-0.765137,0.598633
470261157574,0.336914,-0.768066,0.592285
470261171934,0.325195,-0.748047,0.591309
470261194919,0.315918,-0.767578,0.618164
470261217645,0.33252,-0.759277,0.620117
470261231970,0.333984,-0.736816,0.625
470261255071,0.29834,-0.737305,0.617676
470261277603,0.313477,-0.736328,0.614258
470261298595,0.328613,-0.749023,0.605469
470261315104,0.324219,-0.754883,0.611328
470261337585,0.312988,-0.769043,0.604004
470261358459,0.317871,-0.760742,0.59668
470261374990,0.320801,-0.746582,0.594238
470261398058,0.326172,-0.753906,0.597168
470261418511,0.312012,-0.753418,0.598145
470261435032,0.308594,-0.745117,0.598145
470261457562,0.321289,-0.737793,0.590332
470261478530,0.319336,-0.741699,0.595703
470261495037,0.320312,-0.73291,0.599121
470261517570,0.30957,-0.754883,0.601562
470261546132,0.313965,-0.774414,0.602051
470261554960,0.323242,-0.770996,0.604492
470261577542,0.332031,-0.769043,0.619141
470261598487,0.325195,-0.769531,0.625488
470261615094,0.311035,-0.771484,0.625
470261637525,0.308105,-0.756348,0.624512
470261658580,0.298828,-0.740723,0.618164
470261675058,0.302246,-0.738281,0.610352
470261697572,0.295898,-0.73584,0.602539
470261710414,0.30127,-0.737793,0.600098
470261732874,0.318359,-0.742188,0.594238
470261756102,0.318848,-0.753418,0.591309
470261770290,0.310059,-0.769531,0.609375
470261785392,0.300293,-0.765625,0.625488
470261807953,0.289551,-0.758301,0.628906
470261824379,0.293945,-0.768066,0.628418
470261845458,0.297363,-0.760254,0.631836
470261867873,0.289551,-0.755371,0.633301
470261884254,0.286621,-0.748535,0.642578
470261905256,0.289551,-0.744629,0.641113
470261930723,0.283691,-0.746094,0.637207
470261944318,0.28418,-0.743652,0.631836
470261965280,0.286133,-0.742188,0.630859
470261987786,0.291504,-0.747559,0.630371
470262011710,0.290039,-0.748535,0.629883
470262032773,0.285645,-0.746094,0.617676
470262047782,0.298828,-0.759277,0.622559
470262064228,0.294434,-0.743652,0.622559
470262085280,0.287598,-0.737305,0.626953
470262107773,0.283691,-0.745117,0.620605
470262124234,0.28418,-0.740234,0.626953
470262145290,0.286133,-0.745117,0.628418
470262170700,0.289551,-0.749512,0.627441
470262185707,0.278809,-0.73877,0.635742
470262208212,0.306641,-0.751953,0.606934
470262229249,0.308105,-0.737305,0.626465
470262245711,0.286621,-0.755859,0.624512
470262268209,0.294434,-0.747559,0.62207
470262287785,0.289551,-0.753906,0.628906
470262313231,0.286621,-0.761719,0.61377
470262325287,0.26709,-0.766113,0.616211
470262347814,0.271484,-0.780762,0.617676
470262365683,0.291016,-0.757324,0.627441
